source_event_id,occurred_on,case_number,running_number,case_status,title,campaign_family,deficiency_domain_hypothesis,supplier_categories_hypothesis,external_purchase_likelihood,specificity,organisation_number,organisation_name,sector_guess,workplace_cfar,workplace_name,manual_clear_business_problem,manual_external_supplier_needed,manual_supplier_category,manual_notes
2026/035259-5,2026-09-22,2026/035259,5,Pågående,Inspektion inom Fortlöpande tillsyn - Unga i arbetslivet,Fortlöpande tillsyn - Unga i arbetslivet (young workers),"Rules for minors, introduction, supervision, risk assessment",Mostly internal; e-learning/introduction training,LOW,low,5592885429,MOI SUSHI AB,Hospitality / food service,66866906,MOI SUSHI AB,,,,
2026/042277-4,2026-09-22,2026/042277,4,Pågående,Inspektion inom Ett tryggt arbetsliv – truck (föranmäld),"Truck (forklift), announced and unannounced","Forklift permits/competence, daily checks, traffic separation, maintenance",Forklift training providers; equipment maintenance/inspection; floor marking/barriers,HIGH,high,5562039148,DHL EXPRESS (SWEDEN) AB,Transport / logistics,54577994,MALMÖ,,,,
2026/042682-3,2026-09-22,2026/042682,3,Pågående,Inspektion inom Ett hälsosamt arbetsliv arbetsanpassning,Ett hälsosamt arbetsliv – arbetsanpassning,Work adaptation and rehabilitation routines,Mostly internal; occupational health service,LOW,low,5562668193,P O ERIKSSONS RÖR AKTIEBOLAG,Unclassified (name gives no hint),21490255,PEO:S RÖR,,,,
2026/043155-3,2026-09-22,2026/043155,3,Pågående,Inspektion inom Fortlöpande tillsyn - Unga i arbetslivet,Fortlöpande tillsyn - Unga i arbetslivet (young workers),"Rules for minors, introduction, supervision, risk assessment",Mostly internal; e-learning/introduction training,LOW,low,5593958167,NEOBO SERVICE AB,Unclassified (name gives no hint),71480065,NEOBO SERVICE AB,,,,
2026/044492-5,2026-09-22,2026/044492,5,Pågående,Inspektion inom Ett tryggt arbetsliv Fall kopplat till arbetsutrustning/ställningar/hissar,Fall kopplat till arbetsutrustning/ställningar/hissar,"Fall protection on equipment, scaffolding, lifts",Fall protection equipment; scaffolding contractors/inspection; lift inspection; training,HIGH,high,5566635651,BYGG OCH MURARTJÄNST I VINDELN AB,Construction / civil / installation,42836411,BYGG OCH MURARTJÄNST I VINDELN AB,,,,
2026/045022-3,2026-09-22,2026/045022,3,Pågående,Inspektion inom Ett säkert arbetsliv - Kvarts och kemi inom markarbete och industri,Kvarts och kemi inom markarbete och industri,"Silica dust and chemical exposure: exposure assessment, dust control, PPE, medical checks",Occupational hygiene measurement; ventilation/dust extraction; respiratory PPE; occupational health (medical checks),HIGH,high,5562534890,FORMGUMMITEKNIK FOGUTEK AKTIEBOLAG,Manufacturing / industry,24119414,FORMGUMMITEKNIK FOGUTEK AKTIEBOLAG,,,,
2026/047171-3,2026-09-22,2026/047171,3,Pågående,Inspektion inom Fortlöpande tillsyn - Unga i arbetslivet,Fortlöpande tillsyn - Unga i arbetslivet (young workers),"Rules for minors, introduction, supervision, risk assessment",Mostly internal; e-learning/introduction training,LOW,low,5565594032,EKERUM GOLF & RESORT AB,Hospitality / food service,30918486,EKERUM GOLF & RESORT,,,,
2026/047198-6,2026-09-22,2026/047198,6,Pågående,Inspektion inom Systematiken i byggprojektets arbetsmiljöarbete,Systematiken i byggprojektets arbetsmiljöarbete,"Construction project coordination: Bas-P/Bas-U, arbetsmiljöplan, planning",Bas-P/Bas-U training and certification; construction H&S consulting,MEDIUM,medium,5569147647,TROPHI FASTIGHETS AB (PUBL),Gardening / property service,52927613,TROPHI FASTIGHETS AB (PUBL),,,,
2026/047643-7,2026-09-22,2026/047643,7,Pågående,Olycka 20260714 Fysiskt våld,Olycka-triggered inspection: Fysiskt våld,Violence at work (olycka on 2026-07-14),Security consulting; personal alarms; conflict-management training,MEDIUM,high,2120000779,VÄSTERVIKS KOMMUN,Public sector,19132737,KOMMUNAL PRIMÄRVÅRD KORTTID OCH VÄXELVÅRDSENHET,,,,
2026/049575-5,2026-09-22,2026/049575,5,Pågående,Inspektion inom Fortlöpande tillsyn Vibrationer - handhållna maskiner 2026,Vibrationer - handhållna maskiner,"Hand-arm vibration exposure: assessment, tools, medical checks",Vibration measurement; low-vibration tools; occupational health (medical checks),HIGH,high,5593290868,MÖLNLYCKE LACKERINGS - OCH KAROSSERI & SERVICE- VERKSTAD I LANDVETTER AB,Automotive / vehicle service,67872754,MÖLNLYCKE LACKERINGS - OCH KAROSSERI & SERVICE- VERKSTAD I LANDVETTER AB,,,,
2026/049884-5,2026-09-22,2026/049884,5,Pågående,Inspektion inom Belastningsergonomi i arbetslivet,Belastningsergonomi i arbetslivet (ergonomics),"Manual handling and ergonomic risk assessment, lifting aids, workstation design",Ergonomist / occupational health service; lifting aids; adjustable workstations,MEDIUM,medium,5564589207,RUGVISTA AB,Manufacturing / industry,30869796,RUGVISTA AB,,,,
2026/050697-4,2026-09-22,2026/050697,4,Pågående,Inspektion inom Fortlöpande tillsyn SAM i mindre företag,Fortlöpande tillsyn SAM i mindre företag,"Systematic work environment management in small companies: routines, risk assessment, documentation",SAM consulting; digital SAM tools; occupational health service subscription,MEDIUM,low,5593336372,MAGNUS & HENKES BILVÅRD AB,Automotive / vehicle service,67982587,MAGNUS & HENKES BILVÅRD AB,,,,
2026/050790-3,2026-09-22,2026/050790,3,Pågående,Inspektion inom Ett tryggt arbetsliv Arbete och säkerhet intill väg,Arbete och säkerhet intill väg (roadwork safety),"Traffic protection at road works, TA-plans, competence","Traffic safety equipment (TMA, barriers, signage) rental; TA-plan services; Arbete på väg training",HIGH,high,5591376388,DENNIS ERIKSSON FASTIGHET & TRÄDGÅRDSSERVICE AB,Gardening / property service,59109587,DENNIS ERIKSSON FASTIGHET & TRÄDGÅRDSSERVICE AB,,,,
2026/051690-5,2026-09-22,2026/051690,5,Pågående,Inspektion inom Ett tryggt arbetsliv Arbete och säkerhet intill väg,Arbete och säkerhet intill väg (roadwork safety),"Traffic protection at road works, TA-plans, competence","Traffic safety equipment (TMA, barriers, signage) rental; TA-plan services; Arbete på väg training",HIGH,high,2120001264,HÄRRYDA KOMMUN,Public sector,19531870,FÖRRÅD SOLSTEN,,,,
2026/052648-3,2026-09-22,2026/052648,3,Pågående,Inspektion inom Fortlöpande tillsyn Vibrationer - handhållna maskiner 2026,Vibrationer - handhållna maskiner,"Hand-arm vibration exposure: assessment, tools, medical checks",Vibration measurement; low-vibration tools; occupational health (medical checks),HIGH,high,5562139674,VALVIA DÄCK AKTIEBOLAG,Automotive / vehicle service,21605191,VALVIA DÄCK AKTIEBOLAG,,,,
2026/053046-3,2026-09-22,2026/053046,3,Pågående,Inspektion inom Ett säkert arbetsliv - Kvarts och kemi inom markarbete och industri,Kvarts och kemi inom markarbete och industri,"Silica dust and chemical exposure: exposure assessment, dust control, PPE, medical checks",Occupational hygiene measurement; ventilation/dust extraction; respiratory PPE; occupational health (medical checks),HIGH,high,9696863969,NYKAB I SÄTILA KOMMANDITBOLAG,Unclassified (name gives no hint),23890577,NYKAB I SÄTILA KOMMANDITBOLAG,,,,
2026/053978-3,2026-09-22,2026/053978,3,Pågående,Inspektion inom Belastningsergonomi i arbetslivet,Belastningsergonomi i arbetslivet (ergonomics),"Manual handling and ergonomic risk assessment, lifting aids, workstation design",Ergonomist / occupational health service; lifting aids; adjustable workstations,MEDIUM,medium,2120000456,NORRKÖPINGS KOMMUN,Public sector,43815158,VÄRMLANDSGATAN 16,,,,
2026/055367-2,2026-09-22,2026/055367,2,Pågående,Inspektion inom Fortlöpande tillsyn - Riskmiljöer,Fortlöpande tillsyn - Riskmiljöer (high-risk environments),"General inspection of high-risk workplaces; deficiency can be anything (machines, chemicals, falls, SAM)","Broad: machine safety, chemicals, PPE, fall protection, consulting",MEDIUM,low,5568432495,AB SKÖVDE PLÅTSLAGERI,Construction / civil / installation,50675032,AB SKÖVDE PLÅTSLAGERI,,,,
2026/057198-3,2026-09-22,2026/057198,3,Pågående,Inspektion inom Ett tryggt arbetsliv Arbete och säkerhet intill väg,Arbete och säkerhet intill väg (roadwork safety),"Traffic protection at road works, TA-plans, competence","Traffic safety equipment (TMA, barriers, signage) rental; TA-plan services; Arbete på väg training",HIGH,high,5566366877,BITE MARK & ANLÄGGNING SVERIGE AB,Construction / civil / installation,41951047,BITE MARK & ANLÄGGNING SVERIGE AB,,,,
2026/059582-3,2026-09-22,2026/059582,3,Pågående,Tillbud 20260910 Elektricitet,Tillbud-triggered inspection: Elektricitet,Electrical incident (tillbud on 2026-09-10),Certified electrical contractor; lockout equipment; training,HIGH,high,5566328273,INSTALLATIONSGRUPPEN I STOCKHOLM AB,Construction / civil / installation,41493065,INSTALLATIONSGRUPPEN I STOCKHOLM AB,,,,
2026/059592-3,2026-09-22,2026/059592,3,Pågående,Olycka 20260903 Maskin eller transportanordning,Olycka-triggered inspection: Maskin eller transportanordning,Machine / transport equipment injury (olycka on 2026-09-03),Machine guarding; machine safety consulting (risk assessment); maintenance,HIGH,high,5566210737,RENTA AB,Construction / civil / installation,28292761,NACKA,,,,
2026/059693-6,2026-09-22,2026/059693,6,Pågående,"Inspektion 20260917 - Omedelbart förbud - Kemikalier - Singelvägen 16 , Örebro",Omedelbart förbud (immediate prohibition),"Acute hazard named in title (chemicals, fall risk); work stopped until fixed","Named by hazard: chemical handling/storage, fall protection, safety consulting",HIGH,very high,5595752394,ÖREBRO PROLACK AB,Automotive / vehicle service,73930612,ÖREBRO PROLACK AB,,,,
2026/060127-2,2026-09-22,2026/060127,2,Pågående,Inspektion inom Myndighetsgemensamma kontroller,"Myndighetsgemensamma kontroller (joint agency controls, work-life crime)",Work-life crime controls; deficiencies vary; targets are often not viable customers,Varies; poor buyer profile,LOW,low,5568278500,HVA SMIDE AB,Manufacturing / industry,50318047,HVA SMIDE AB,,,,
2026/060172-2,2026-09-22,2026/060172,2,Pågående,Inspektion inom Myndighetsgemensamma kontroller,"Myndighetsgemensamma kontroller (joint agency controls, work-life crime)",Work-life crime controls; deficiencies vary; targets are often not viable customers,Varies; poor buyer profile,LOW,low,5591678387,ZURFACE SWEDEN AB,Unclassified (name gives no hint),60365426,ZURFACE SWEDEN AB,,,,
2026/060416-2,2026-09-22,2026/060416,2,Pågående,Inspektion inom Myndighetsgemensamma kontroller,"Myndighetsgemensamma kontroller (joint agency controls, work-life crime)",Work-life crime controls; deficiencies vary; targets are often not viable customers,Varies; poor buyer profile,LOW,low,5595505552,DKS MOTOR AB,Automotive / vehicle service,73396723,DKS MOTOR AB,,,,
2026/060688-2,2026-09-22,2026/060688,2,Pågående,Inspektion inom Övrig tillsyn,Övrig tillsyn (other supervision),Unspecified,Unknown until content is read,UNKNOWN,low,5565681961,DS TAK & PLÅT AKTIEBOLAG,Construction / civil / installation,38169975,DS TAK & PLÅT AKTIEBOLAG,,,,
2026/060724-2,2026-09-22,2026/060724,2,Pågående,Inspektion inom Fortlöpande tillsyn - Riskmiljöer,Fortlöpande tillsyn - Riskmiljöer (high-risk environments),"General inspection of high-risk workplaces; deficiency can be anything (machines, chemicals, falls, SAM)","Broad: machine safety, chemicals, PPE, fall protection, consulting",MEDIUM,low,5564261690,G. GUSTAFSSONS CAFÉ AKTIEBOLAG,Hospitality / food service,27030808,RESTAURANG GRILLB CAFÉ KONDITORISER,,,,
2026/060728-2,2026-09-22,2026/060728,2,Pågående,Inspektion inom Fortlöpande tillsyn - Riskmiljöer,Fortlöpande tillsyn - Riskmiljöer (high-risk environments),"General inspection of high-risk workplaces; deficiency can be anything (machines, chemicals, falls, SAM)","Broad: machine safety, chemicals, PPE, fall protection, consulting",MEDIUM,low,5564261682,GRETAS BRÖDBUTIK AKTIEBOLAG,Hospitality / food service,12206066,GRETAS BRÖDBUTIK AKTIEBOLAG,,,,
2026/060809-3,2026-09-22,2026/060809,3,Pågående,Inspektion inom Ett säkert arbetsliv - Säker Schaktning,Säker Schaktning (excavation safety),Trench/excavation collapse protection,Shoring/trench boxes (rental); geotechnical assessment; training,HIGH,high,5566573522,STENGER & IBSEN CONSTRUCTION SVERIGE AB,Construction / civil / installation,46729745,STENGER & IBSEN CONSTRUCTION SVERIGE AB,,,,
2026/060821-4,2026-09-22,2026/060821,4,Pågående,"Inspektion - Omedelbart förbud 20260922 - Fallrisk - Häradsvägen 253, 141 72 Segeltorp",Omedelbart förbud (immediate prohibition),"Acute hazard named in title (chemicals, fall risk); work stopped until fixed","Named by hazard: chemical handling/storage, fall protection, safety consulting",HIGH,very high,5591251532,SVEVITAK OCH BYGG AB,Construction / civil / installation,58790007,SVEVITAK OCH BYGG AB,,,,
2026/060898-2,2026-09-22,2026/060898,2,Pågående,Inspektion inom Fortlöpande tillsyn - Riskmiljöer,Fortlöpande tillsyn - Riskmiljöer (high-risk environments),"General inspection of high-risk workplaces; deficiency can be anything (machines, chemicals, falls, SAM)","Broad: machine safety, chemicals, PPE, fall protection, consulting",MEDIUM,low,5565315834,TORKAB ENTREPRENAD AB,Construction / civil / installation,33665613,TORKAB ENTREPRENAD AB,,,,
2026/060914-2,2026-09-22,2026/060914,2,Pågående,Inspektion inom Fortlöpande tillsyn - Riskmiljöer,Fortlöpande tillsyn - Riskmiljöer (high-risk environments),"General inspection of high-risk workplaces; deficiency can be anything (machines, chemicals, falls, SAM)","Broad: machine safety, chemicals, PPE, fall protection, consulting",MEDIUM,low,,,Unclassified (name gives no hint),49698228,,,,,
2026/060930-2,2026-09-22,2026/060930,2,Pågående,Inspektion inom Myndighetsgemensamma kontroller,"Myndighetsgemensamma kontroller (joint agency controls, work-life crime)",Work-life crime controls; deficiencies vary; targets are often not viable customers,Varies; poor buyer profile,LOW,low,5567494652,DÄCKAB PERSONBILAR I SVEG AB,Automotive / vehicle service,11675949,DÄCKAB PERSONBILAR I SVEG AB,,,,
2026/043184-6,2026-09-21,2026/043184,6,Pågående,Olycka 20260622 Kemikalie,Olycka-triggered inspection: Kemikalie,Chemical incident (olycka on 2026-06-22),Chemical handling consulting; storage; PPE; ventilation,HIGH,high,5562349356,ISIFLO AB,Manufacturing / industry,10586758,ISIFLO AB,,,,
2026/045019-4,2026-09-21,2026/045019,4,Pågående,Inspektion inom Ett tryggt arbetsliv – truck (föranmäld),"Truck (forklift), announced and unannounced","Forklift permits/competence, daily checks, traffic separation, maintenance",Forklift training providers; equipment maintenance/inspection; floor marking/barriers,HIGH,high,5564118973,"SVEAPLANS BIL, PLÅT OCH LACK AKTIEBOLAG",Construction / civil / installation,27157718,"SVEAPLANS BIL, PLÅT OCH LACK AKTIEBOLAG",,,,
2026/046545-4,2026-09-21,2026/046545,4,Pågående,Inspektion inom Ett tryggt arbetsliv Arbete och säkerhet intill väg,Arbete och säkerhet intill väg (roadwork safety),"Traffic protection at road works, TA-plans, competence","Traffic safety equipment (TMA, barriers, signage) rental; TA-plan services; Arbete på väg training",HIGH,high,5564491446,VATTEN OCH SAMHÄLLSTEKNIK I GOTALAND AKTIEBOLAG,Construction / civil / installation,57708430,VATTEN OCH SAMHÄLLSTEKNIK I GOTALAND AKTIEBOLAG,,,,
2026/047201-6,2026-09-21,2026/047201,6,Pågående,Inspektion inom Systematiken i byggprojektets arbetsmiljöarbete,Systematiken i byggprojektets arbetsmiljöarbete,"Construction project coordination: Bas-P/Bas-U, arbetsmiljöplan, planning",Bas-P/Bas-U training and certification; construction H&S consulting,MEDIUM,medium,5565184503,BARILLA SVERIGE AB,Manufacturing / industry,10192631,KNÄCKEBRÖDSFABRIK I FILIPSTAD,,,,
2026/048472-4,2026-09-21,2026/048472,4,Pågående,Inspektion inom Ett hållbart arbetsliv i välfärden - hemtjänst,Ett hållbart arbetsliv i välfärden - hemtjänst,Organisational and social work environment in home care,Mostly internal (public sector); organisational consulting,LOW,low,5565355400,FORENEDE CARE AB,Care / social services,70236146,STAFFANSTORPS HEMTJÄNST,,,,
2026/049573-5,2026-09-21,2026/049573,5,Pågående,Inspektion inom Fortlöpande tillsyn SAM i mindre företag,Fortlöpande tillsyn SAM i mindre företag,"Systematic work environment management in small companies: routines, risk assessment, documentation",SAM consulting; digital SAM tools; occupational health service subscription,MEDIUM,low,5593769093,CW SUNDSVALL AB,Unclassified (name gives no hint),68902014,CW SUNDSVALL AB,,,,
2026/050493-5,2026-09-21,2026/050493,5,Pågående,Inspektion inom Fortlöpande tillsyn - Unga i arbetslivet,Fortlöpande tillsyn - Unga i arbetslivet (young workers),"Rules for minors, introduction, supervision, risk assessment",Mostly internal; e-learning/introduction training,LOW,low,,,Unclassified (name gives no hint),25534470,,,,,
2026/050638-3,2026-09-21,2026/050638,3,Pågående,Inspektion inom Ett säkert arbetsliv - Kvarts och kemi inom markarbete och industri,Kvarts och kemi inom markarbete och industri,"Silica dust and chemical exposure: exposure assessment, dust control, PPE, medical checks",Occupational hygiene measurement; ventilation/dust extraction; respiratory PPE; occupational health (medical checks),HIGH,high,5560159823,GOT EVENT AB,Unclassified (name gives no hint),19161439,VALHALLABADET OCH VALHALLA SPORT,,,,
2026/050778-4,2026-09-21,2026/050778,4,Pågående,Inspektion inom Ett tryggt arbetsliv Arbete och säkerhet intill väg,Arbete och säkerhet intill väg (roadwork safety),"Traffic protection at road works, TA-plans, competence","Traffic safety equipment (TMA, barriers, signage) rental; TA-plan services; Arbete på väg training",HIGH,high,5568283039,LYONS TRÄDVÅRD AB,Gardening / property service,50412394,LYONS TRÄDVÅRD AB,,,,
2026/051888-5,2026-09-21,2026/051888,5,Pågående,Inspektion inom Fortlöpande tillsyn SAM i mindre företag,Fortlöpande tillsyn SAM i mindre företag,"Systematic work environment management in small companies: routines, risk assessment, documentation",SAM consulting; digital SAM tools; occupational health service subscription,MEDIUM,low,5593203937,MYDOGCARE ÖSTERMALM AB,Care / social services,67647339,MYDOGCARE ÖSTERMALM AB,,,,
2026/052490-3,2026-09-21,2026/052490,3,Pågående,Inspektion inom Ett säkert arbetsliv - Kvarts och kemi inom markarbete och industri,Kvarts och kemi inom markarbete och industri,"Silica dust and chemical exposure: exposure assessment, dust control, PPE, medical checks",Occupational hygiene measurement; ventilation/dust extraction; respiratory PPE; occupational health (medical checks),HIGH,high,5564290079,SANERO NORR AB,Construction / civil / installation,29942521,SANERO NORR AB,,,,
2026/052641-3,2026-09-21,2026/052641,3,Pågående,Inspektion inom Ett säkert arbetsliv - Kvarts och kemi inom markarbete och industri,Kvarts och kemi inom markarbete och industri,"Silica dust and chemical exposure: exposure assessment, dust control, PPE, medical checks",Occupational hygiene measurement; ventilation/dust extraction; respiratory PPE; occupational health (medical checks),HIGH,high,5560435124,ROSEMOUNT TANK RADAR AB,Manufacturing / industry,22173322,HK,,,,
2026/053619-2,2026-09-21,2026/053619,2,Pågående,Inspektion inom Fortlöpande tillsyn - Unga i arbetslivet,Fortlöpande tillsyn - Unga i arbetslivet (young workers),"Rules for minors, introduction, supervision, risk assessment",Mostly internal; e-learning/introduction training,LOW,low,5590621867,JOLICA AB,Unclassified (name gives no hint),57233462,JOLICA AB,,,,
2026/053827-5,2026-09-21,2026/053827,5,Pågående,Inspektion inom Belastningsergonomi i arbetslivet,Belastningsergonomi i arbetslivet (ergonomics),"Manual handling and ergonomic risk assessment, lifting aids, workstation design",Ergonomist / occupational health service; lifting aids; adjustable workstations,MEDIUM,medium,5564474541,MÖLLE FISKERÖKERI AKTIEBOLAG,Manufacturing / industry,30494884,MÖLLE FISKERÖKERI AKTIEBOLAG,,,,
2026/055250-4,2026-09-21,2026/055250,4,Pågående,Inspektion inom Fortlöpande tillsyn - Riskmiljöer,Fortlöpande tillsyn - Riskmiljöer (high-risk environments),"General inspection of high-risk workplaces; deficiency can be anything (machines, chemicals, falls, SAM)","Broad: machine safety, chemicals, PPE, fall protection, consulting",MEDIUM,low,5569761165,STRÖMSTAD FOODCOURT AB,Hospitality / food service,55073035,STRÖMSTAD FOODCOURT AB,,,,
2026/057077-5,2026-09-21,2026/057077,5,Pågående,Inspektion inom Systematiken i byggprojektets arbetsmiljöarbete,Systematiken i byggprojektets arbetsmiljöarbete,"Construction project coordination: Bas-P/Bas-U, arbetsmiljöplan, planning",Bas-P/Bas-U training and certification; construction H&S consulting,MEDIUM,medium,5560520693,CASTELLUM VÄST HISINGEN AB,Unclassified (name gives no hint),10358018,CASTELLUM VÄST HISINGEN AB,,,,
2026/057111-2,2026-09-21,2026/057111,2,Pågående,Inspektion inom Systematiken i byggprojektets arbetsmiljöarbete,Systematiken i byggprojektets arbetsmiljöarbete,"Construction project coordination: Bas-P/Bas-U, arbetsmiljöplan, planning",Bas-P/Bas-U training and certification; construction H&S consulting,MEDIUM,medium,5564333507,BMJ BETONGHÅLTAGNING & ENTREPRENAD AB,Construction / civil / installation,30050108,BMJ BETONGHÅLTAGNING & ENTREPRENAD AB,,,,
2026/057114-2,2026-09-21,2026/057114,2,Pågående,Inspektion inom Systematiken i byggprojektets arbetsmiljöarbete,Systematiken i byggprojektets arbetsmiljöarbete,"Construction project coordination: Bas-P/Bas-U, arbetsmiljöplan, planning",Bas-P/Bas-U training and certification; construction H&S consulting,MEDIUM,medium,5594621509,BMD CONSULTING AB,Unclassified (name gives no hint),71025845,BMD CONSULTING AB,,,,
2026/057856-2,2026-09-21,2026/057856,2,Pågående,Inspektion inom Myndighetsgemensamma kontroller,"Myndighetsgemensamma kontroller (joint agency controls, work-life crime)",Work-life crime controls; deficiencies vary; targets are often not viable customers,Varies; poor buyer profile,LOW,low,5567643498,ANLÄGGNING & KABEL ENTREPRENAD I MALMÖ AB,Construction / civil / installation,53398970,ANLÄGGNING & KABEL ENTREPRENAD I MALMÖ AB,,,,
2026/058492-3,2026-09-21,2026/058492,3,Pågående,Inspektion inom Myndighetsgemensamma kontroller,"Myndighetsgemensamma kontroller (joint agency controls, work-life crime)",Work-life crime controls; deficiencies vary; targets are often not viable customers,Varies; poor buyer profile,LOW,low,5595184531,SAKOFALL MÄLARDALEN AB,Construction / civil / installation,72443807,SAKOFALL MÄLARDALEN AB,,,,
2026/058781-11,2026-09-21,2026/058781,11,Pågående,Olycka 20260911 Person föll,Olycka-triggered inspection: Person föll,Fall of person (olycka on 2026-09-11),Fall protection; access equipment; training,HIGH,high,5565720900,KNUT EDSTRAND BYGGNADS AB,Construction / civil / installation,12893939,KNUT EDSTRAND BYGGNADS AB,,,,
2026/058865-8,2026-09-21,2026/058865,8,Pågående,Inspektion inom Ett tryggt arbetsliv Fall kopplat till arbetsutrustning/ställningar/hissar,Fall kopplat till arbetsutrustning/ställningar/hissar,"Fall protection on equipment, scaffolding, lifts",Fall protection equipment; scaffolding contractors/inspection; lift inspection; training,HIGH,high,5594062357,T.VELIN BYGGPARTNER AB,Construction / civil / installation,69638930,T.VELIN BYGGPARTNER AB,,,,
2026/059414-3,2026-09-21,2026/059414,3,Pågående,Inspektion inom Myndighetsgemensamma kontroller,"Myndighetsgemensamma kontroller (joint agency controls, work-life crime)",Work-life crime controls; deficiencies vary; targets are often not viable customers,Varies; poor buyer profile,LOW,low,5595247585,LEMANKAN AB,Unclassified (name gives no hint),72641814,LEMANKAN AB,,,,
2026/059493-3,2026-09-21,2026/059493,3,Pågående,Inspektion inom Ett hållbart arbetsliv i välfärden - hemtjänst,Ett hållbart arbetsliv i välfärden - hemtjänst,Organisational and social work environment in home care,Mostly internal (public sector); organisational consulting,LOW,low,2120001132,LUNDS KOMMUN,Public sector,26479287,VÅRD OCH OMSORGSFÖRVALTNING STABEN,,,,
2026/059693-5,2026-09-21,2026/059693,5,Pågående,"Inspektion 20260917 - Omedelbart förbud - Kemikalier - Singelvägen 16 , Örebro",Omedelbart förbud (immediate prohibition),"Acute hazard named in title (chemicals, fall risk); work stopped until fixed","Named by hazard: chemical handling/storage, fall protection, safety consulting",HIGH,very high,5595752394,ÖREBRO PROLACK AB,Automotive / vehicle service,73930612,ÖREBRO PROLACK AB,,,,
2026/059712-2,2026-09-21,2026/059712,2,Pågående,Inspektion inom EMPACT,EMPACT (EU action against labour exploitation),Labour exploitation controls,Varies; poor buyer profile,LOW,low,5561454223,KRONFÅGEL AB,Manufacturing / industry,22802300,SLAKTERIET I VALLA,,,,
2026/059789-3,2026-09-21,2026/059789,3,Pågående,Inspektion inom EMPACT,EMPACT (EU action against labour exploitation),Labour exploitation controls,Varies; poor buyer profile,LOW,low,,,Unclassified (name gives no hint),,,,,,
2026/059982-2,2026-09-21,2026/059982,2,Pågående,Inspektion inom Övrig tillsyn,Övrig tillsyn (other supervision),Unspecified,Unknown until content is read,UNKNOWN,low,5568116874,J O'S TAK AB,Unclassified (name gives no hint),49554926,J O'S TAK AB,,,,
2026/059986-2,2026-09-21,2026/059986,2,Pågående,Inspektion inom Övrig tillsyn – Asbest (ej tillståndsansökningar),Övrig tillsyn – Asbest,"Asbestos handling: permits, competence, analysis, protective measures",Asbestos analysis labs; certified removal contractors; asbestos training,HIGH,high,5590028782,MPG ENTREPRENAD AB,Construction / civil / installation,55491468,MPG ENTREPRENAD AB,,,,
2026/059988-2,2026-09-21,2026/059988,2,Pågående,Övrig tillsyn,Övrig tillsyn (other supervision),Unspecified,Unknown until content is read,UNKNOWN,low,2120001124,MALMÖ KOMMUN,Public sector,58212598,FUNKTIONSSTÖDSFÖRVALTNINGEN,,,,
2026/060025-3,2026-09-21,2026/060025,3,Pågående,Inspektion inom EMPACT,EMPACT (EU action against labour exploitation),Labour exploitation controls,Varies; poor buyer profile,LOW,low,5590168737,CHOPCHOP EXPRESS AB,Hospitality / food service,57684060,CHOPCHOP KRÄMAREN,,,,
2026/060079-2,2026-09-21,2026/060079,2,Pågående,Inspektion inom EMPACT,EMPACT (EU action against labour exploitation),Labour exploitation controls,Varies; poor buyer profile,LOW,low,5595836080,ASIAN T&T AB,Hospitality / food service,74169855,ASIAN T&T AB,,,,
2026/060200-2,2026-09-21,2026/060200,2,Pågående,Inspektion inom Fortlöpande tillsyn - Riskmiljöer,Fortlöpande tillsyn - Riskmiljöer (high-risk environments),"General inspection of high-risk workplaces; deficiency can be anything (machines, chemicals, falls, SAM)","Broad: machine safety, chemicals, PPE, fall protection, consulting",MEDIUM,low,5563543064,RALF ARKLÖF BYGGSERVICE AB,Construction / civil / installation,41297631,RALF ARKLÖF BYGGSERVICE AB,,,,
2026/060478-2,2026-09-21,2026/060478,2,Pågående,Inspektion inom Fortlöpande tillsyn - Riskmiljöer,Fortlöpande tillsyn - Riskmiljöer (high-risk environments),"General inspection of high-risk workplaces; deficiency can be anything (machines, chemicals, falls, SAM)","Broad: machine safety, chemicals, PPE, fall protection, consulting",MEDIUM,low,5593682262,SANDVIKEN MK CAR SERVICE AB,Automotive / vehicle service,68714518,SANDVIKEN MK CAR SERVICE AB,,,,
